//**************Start***************
CenterX: -2|| CenterY: 9|| Mode: 45
17/6/2564 || 17:57:0|| AngleX: -48, AngleY: 19 Warning
17/6/2564 || 17:57:1|| AngleX: 72, AngleY: 7 Warning
17/6/2564 || 17:57:2|| AngleX: -6, AngleY: 2 
17/6/2564 || 17:57:3|| AngleX: -11, AngleY: 17 
17/6/2564 || 17:57:5|| AngleX: -34, AngleY: -4 
17/6/2564 || 17:57:6|| AngleX: 0, AngleY: 9 
17/6/2564 || 17:57:7|| AngleX: 0, AngleY: 9 
17/6/2564 || 17:57:8|| AngleX: -2, AngleY: 9 
17/6/2564 || 17:57:9|| AngleX: -49, AngleY: 1 Warning
17/6/2564 || 17:57:10|| AngleX: -10, AngleY: 6 
17/6/2564 || 17:57:12|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:13|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:14|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:15|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:16|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:17|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:18|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:20|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:21|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:22|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:23|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:24|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:25|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:26|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:28|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:29|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:30|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:31|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:32|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:33|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:34|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:36|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:37|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:38|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:39|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:40|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:41|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:42|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:43|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:45|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:46|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:47|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:48|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:49|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:50|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:51|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:53|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:54|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:55|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:56|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:57|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:58|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:57:59|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:1|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:2|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:3|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:4|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:5|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:6|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:7|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:9|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:10|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:11|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:12|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:13|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:14|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:15|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:17|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:18|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:19|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:20|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:21|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:22|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:23|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:25|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:26|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:27|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:28|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:29|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:30|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:31|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:33|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:34|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:35|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:36|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:37|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:38|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:39|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:41|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:42|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:43|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:44|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:45|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:46|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:47|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:49|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:50|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:51|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:52|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:53|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:54|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:55|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:57|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:58|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:58:59|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:0|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:1|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:2|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:3|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:5|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:6|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:7|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:8|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:9|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:10|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:11|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:12|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:14|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:15|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:16|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:17|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:18|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:19|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:20|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:22|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:23|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:24|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:25|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:26|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:27|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:28|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:30|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:31|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:32|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:33|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:34|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:35|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:36|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:38|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:39|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:40|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:41|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:42|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:43|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:44|| AngleX: 0, AngleY: 7 
17/6/2564 || 17:59:46|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:47|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:48|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:49|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:50|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:51|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:52|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:54|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:55|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:56|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:57|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:58|| AngleX: 0, AngleY: 8 
17/6/2564 || 17:59:59|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:0|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:2|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:3|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:4|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:5|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:6|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:7|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:8|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:10|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:11|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:12|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:13|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:14|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:15|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:16|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:18|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:19|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:20|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:21|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:22|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:23|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:24|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:25|| AngleX: 0, AngleY: 8 
